,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1440,9976875,553005472,55.2,3966,24.69304548,28.25049721,35.36540066,33.322740034464935,17.825274917597838,-0.0063813339375496,-100.0,-100.0,0
2604,10263028,723423745,70.0,5421,20.35816595,21.03776585,22.39696567,33.430261051402205,27.958148512028234,-0.1938695854849363,-100.0,-100.0,1
992,3775549,205182760,54.6,2202,89.33733064,79.8509728,60.87825711,66.26771886679302,76.64156105051977,-0.0521189564073461,0.0,0.0,0
635,5760642,277551363,48.05,1562,17.24189445,29.4595672,53.8949127,46.23392672458408,34.51920301125907,0.7050988879861498,-100.0,-100.0,1
1153,8910189,486600018,55.0,2246,93.53313249,82.7764324,61.26303222,58.53277403631041,69.81063979717939,-0.4979142555304736,0.0,0.0,0
114,9171204,324406449,35.55,3278,87.48153199,83.16662359,74.5368068,69.97852545496706,80.51436600386074,0.0434365375621247,0.0,0.0,1
1347,3694450,193348105,52.6,2157,26.84422476,32.03623258,42.42024823,45.63439453047535,43.24806435257722,0.2956964472958551,-55.55555555555542,-73.3333333333332,0
1693,20591023,1174697612,56.8,8685,16.27324362,27.03168777,48.54857606,30.71563296627368,20.99636478504779,-0.1386235353138778,-91.42857142857152,-93.47826086956528,1
603,3050189,141779362,46.4,1485,59.87737594,50.30781831,31.16870305,56.29276510655657,59.189842675308,0.4499959372692995,-2.857142857143101,-35.84905660377371,0
1266,10732267,569762242,53.2,4254,76.53465188,66.90660689,47.65051692,66.78528843472233,73.73863671798023,0.6061481907545418,0.0,0.0,1
284,9888668,373749212,37.75,3684,13.68982448,17.66842647,25.62563044,31.46673626603032,31.115095736888787,-0.7579892932390424,-79.4117647058823,-81.57894736842096,0
2255,4341730,322938862,74.5,2052,81.41904174,76.44587564,66.49954342,61.715553805780274,63.79365094130117,0.6943413386930581,-31.25000000000011,-21.739130434782638,1
411,11178562,472164424,42.5,3852,36.57528059,32.12904909,23.23658607,47.65316722770527,51.56621027052518,-0.6873353395487068,-4.651162790697744,-54.94505494505498,0
344,5235401,214053370,41.0,1627,36.41343487,43.57647814,57.90256469,47.05960880712456,42.89241127883367,0.3082056913922186,-65.5172413793104,-67.7419354838709,1
634,7491300,364229045,48.55,2672,25.86284168,35.56840358,54.97952738,51.11310402553014,42.80979653404033,0.7562064907251329,-96.15384615384636,-97.22222222222236,1
1161,5616787,299177645,53.3,2059,33.13046056,48.03468282,77.84312736,43.74696894293263,37.910316399690615,-0.1506283387931694,-100.0,-100.0,1
2469,5159215,375610895,72.6,2859,29.4955082,50.80645656,93.42835328,37.16953275247657,24.63308070000238,0.2445799650965473,-100.0,-100.0,1
1357,10784996,586802360,54.7,4080,68.73082665,53.87870686,24.17446728,61.8171364977615,70.62732095379462,0.0389047749770045,0.0,0.0,0
58,19560748,725299126,37.15,5044,81.59370392,63.15131835,26.26654722,63.6659390574727,71.25484816479191,0.0418904737733715,-4.761904761905149,-1.7857142857144352,0
2208,10133969,701144253,68.9,3684,23.34938229,19.33795403,11.3150975,36.83230772801011,37.097397642258976,-1.1566326866776495,-21.05263157894701,-74.57627118644065,1
810,22165975,1295220365,59.5,7697,48.19088075,30.30137885,-5.477624945,62.20204192085343,70.25840984914332,0.3348618075299269,0.0,0.0,0
