,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
155,155,1999/8/19,5434147,173246961,31.55,32.3,31.3,31.915000000000003,-0.28000000000000114,1760,0,29.8,35.2,33.33333333,30.85542584,33.13644069,37.6984704
156,156,1999/8/20,3874739,123347575,31.6,32.05,31.5,31.635,-0.375,1268,0,29.8,32.4,84.61538462,48.7754121,38.34943116,17.49746929
157,157,1999/8/23,5112227,160024358,31.4,31.6,31.0,31.26,-0.060000000000002274,1453,0,29.8,32.3,54.0,50.5169414,42.40526791,26.18192092
158,158,1999/8/24,2508388,77715598,31.15,31.35,30.85,31.2,-0.060000000000002274,891,0,29.8,32.3,42.0,47.67796093,44.16283225,37.13257488
159,159,1999/8/25,3061549,92145820,30.5,30.6,29.6,31.139999999999997,-0.18999999999999773,1226,0,29.6,32.3,0.0,31.78530729,40.0369906,56.54035721
160,160,1999/8/26,2497474,73961872,29.65,30.3,29.1,30.95,-0.1999999999999993,896,0,29.1,32.3,0.0,21.19020486,33.75472868,58.88377633
161,161,1999/8/27,2718933,78658991,28.8,29.15,28.7,30.75,-0.1750000000000007,890,0,28.7,32.3,8.333333333,16.90458102,28.13801279,50.60487635
162,162,1999/8/30,2186270,64833494,29.5,30.1,29.1,30.575,-0.264999999999997,859,0,28.7,32.3,23.61111111,19.14009105,25.13870555,37.13593454
163,163,1999/8/31,1462289,42383831,29.3,29.45,28.85,30.310000000000002,-0.13500000000000156,569,0,28.7,32.3,6.944444444,15.07487551,21.78409553,35.20253558
164,164,1999/9/1,3240718,96735389,29.05,30.35,29.0,30.175,-0.1650000000000027,995,0,28.7,32.05,37.31343284,22.48772795,22.01863967,21.08046312
165,165,1999/9/2,2257960,67809654,30.2,30.3,29.8,30.009999999999998,-0.19500000000000028,664,0,28.7,31.6,43.10344828,29.35963473,24.46563803,14.67764462
166,166,1999/9/3,2103270,63864313,30.4,30.7,30.0,29.814999999999998,-0.13999999999999702,889,0,28.7,31.35,50.94339623,36.55422189,28.49516598,12.37705416
167,167,1999/9/6,2819735,84502963,30.1,30.25,29.7,29.675,-0.11500000000000554,1074,0,28.7,30.7,52.5,41.86948126,32.95327108,15.1208507
168,168,1999/9/7,1948422,58182316,29.8,30.1,29.7,29.559999999999995,-0.03499999999999659,796,0,28.7,30.7,50.0,44.57965418,36.82873211,21.32688798
169,169,1999/9/8,1773132,52121110,29.7,29.9,29.1,29.525,0.015000000000000568,802,1,28.7,30.7,27.5,38.88643612,37.51463344,34.7710281
170,170,1999/9/9,1633990,47909100,29.25,29.7,29.2,29.54,0.04999999999999716,462,1,28.85,30.7,21.62162162,33.13149795,36.05358828,41.89776894
171,171,1999/9/10,1251663,37008750,29.3,29.8,29.3,29.589999999999996,0.030000000000001137,510,1,28.85,30.7,35.13513514,33.79937701,35.30218452,38.30779955
172,172,1999/9/13,1138615,33959397,29.8,30.0,29.7,29.619999999999997,0.15500000000000114,469,1,29.0,30.7,50.0,39.19958468,36.60131791,31.40478437
173,173,1999/9/14,4115844,125698176,30.2,30.8,30.1,29.775,0.04000000000000625,1513,1,29.1,30.8,82.35294118,53.58403684,42.26222422,19.61859897
174,174,1999/9/15,2269482,69328092,31.0,31.0,30.25,29.815000000000005,0.009999999999994458,911,1,29.1,31.0,65.78947368,57.65251579,47.39232141,26.87193265
175,175,1999/9/16,1731805,52344450,30.4,30.6,30.05,29.825,0.010000000000001563,771,1,29.1,31.0,50.0,55.10167719,49.96210667,39.68296563
